--- LOG FILE START ---

Timestamp: 2022-03-13 14:01:35.221209600
SessionID: 3627106287809831984
UserID: 1
BikeModel: BIKE27
Programme Type: lose weight
SoftwareVersion: 27


189.0   HeartRateRaw: 74.0   HeartRateReg: 35.0   Power: 11.0   Resistance: 40.0   RPM: 34.0
190.0   HeartRateRaw: 73.5   HeartRateReg: 34.5   Power: 10.5   Resistance: 40.0   RPM: 33.5
191.0   HeartRateRaw: 73.0   HeartRateReg: 34.0   Power: 10.0   Resistance: 40.0   RPM: 33.0
192.0   HeartRateRaw: 62.0   HeartRateReg: 34.0   Power: 10.0   Resistance: 40.0   RPM: 33.0
193.0   HeartRateRaw: 51.0   HeartRateReg: 34.0   Power: 10.0   Resistance: 40.0   RPM: 33.0
194.0   HeartRateRaw: 43.0   HeartRateReg: 33.5   Power: 10.0   Resistance: 40.0   RPM: 33.0
195.0   HeartRateRaw: 35.0   HeartRateReg: 33.0   Power: 10.0   Resistance: 40.0   RPM: 33.0
196.0   HeartRateRaw: 35.0   HeartRateReg: 33.0   Power: 10.0   Resistance: 40.0   RPM: 32.5
197.0   HeartRateRaw: 35.0   HeartRateReg: 33.0   Power: 10.0   Resistance: 40.0   RPM: 32.0
198.0   HeartRateRaw: 48.0   HeartRateReg: 32.0   Power: 10.0   Resistance: 40.0   RPM: 32.0
199.0   HeartRateRaw: 58.0   HeartRateReg: 32.0   Power: 10.0   Resistance: 40.0   RPM: 32.0
200.0   HeartRateRaw: 68.0   HeartRateReg: 32.0   Power: 10.0   Resistance: 40.0   RPM: 32.0
201.0   HeartRateRaw: 67.5   HeartRateReg: 31.5   Power: 10.0   Resistance: 40.0   RPM: 32.0
202.0   HeartRateRaw: 67.0   HeartRateReg: 31.0   Power: 10.0   Resistance: 40.0   RPM: 32.0
203.0   HeartRateRaw: 66.0   HeartRateReg: 31.0   Power: 10.0   Resistance: 40.0   RPM: 32.0
204.0   HeartRateRaw: 65.0   HeartRateReg: 31.0   Power: 10.0   Resistance: 40.0   RPM: 32.0
205.0   HeartRateRaw: 64.0   HeartRateReg: 30.5   Power: 10.0   Resistance: 40.0   RPM: 32.0
206.0   HeartRateRaw: 63.0   HeartRateReg: 30.0   Power: 10.0   Resistance: 40.0   RPM: 32.0
207.0   HeartRateRaw: 58.0   HeartRateReg: 30.0   Power: 10.0   Resistance: 40.0   RPM: 32.0
208.0   HeartRateRaw: 40.5   HeartRateReg: 29.5   Power: 9.5   Resistance: 40.0   RPM: 32.0
209.0   HeartRateRaw: 23.0   HeartRateReg: 29.0   Power: 9.0   Resistance: 40.0   RPM: 32.0
210.0   HeartRateRaw: 21.0   HeartRateReg: 29.0   Power: 9.0   Resistance: 40.0   RPM: 31.5
211.0   HeartRateRaw: 19.0   HeartRateReg: 29.0   Power: 9.0   Resistance: 40.0   RPM: 31.0
212.0   HeartRateRaw: 25.0   HeartRateReg: 29.0   Power: 9.0   Resistance: 40.0   RPM: 31.5
213.0   HeartRateRaw: 31.0   HeartRateReg: 29.0   Power: 9.0   Resistance: 40.0   RPM: 32.0
214.0   HeartRateRaw: 45.5   HeartRateReg: 28.5   Power: 9.5   Resistance: 40.0   RPM: 32.0
215.0   HeartRateRaw: 60.0   HeartRateReg: 28.0   Power: 10.0   Resistance: 40.0   RPM: 32.0
216.0   HeartRateRaw: 59.0   HeartRateReg: 28.0   Power: 9.0   Resistance: 40.0   RPM: 32.0
217.0   HeartRateRaw: 58.5   HeartRateReg: 27.5   Power: 9.5   Resistance: 40.0   RPM: 32.5
218.0   HeartRateRaw: 58.0   HeartRateReg: 27.0   Power: 10.0   Resistance: 40.0   RPM: 33.0
219.0   HeartRateRaw: 57.5   HeartRateReg: 27.0   Power: 10.0   Resistance: 40.0   RPM: 33.0
220.0   HeartRateRaw: 57.0   HeartRateReg: 27.0   Power: 10.0   Resistance: 40.0   RPM: 33.0
221.0   HeartRateRaw: 45.0   HeartRateReg: 27.0   Power: 10.0   Resistance: 40.0   RPM: 33.0
222.0   HeartRateRaw: 33.0   HeartRateReg: 27.0   Power: 10.0   Resistance: 40.0   RPM: 33.0
223.0   HeartRateRaw: 39.0   HeartRateReg: 26.5   Power: 10.0   Resistance: 40.0   RPM: 33.0
224.0   HeartRateRaw: 45.0   HeartRateReg: 26.0   Power: 10.0   Resistance: 40.0   RPM: 33.0
225.0   HeartRateRaw: 54.0   HeartRateReg: 26.0   Power: 10.0   Resistance: 40.0   RPM: 33.0
226.0   HeartRateRaw: 54.0   HeartRateReg: 25.5   Power: 9.5   Resistance: 40.0   RPM: 32.5
227.0   HeartRateRaw: 54.0   HeartRateReg: 25.0   Power: 9.0   Resistance: 40.0   RPM: 32.0
228.0   HeartRateRaw: 62.0   HeartRateReg: 25.0   Power: 9.5   Resistance: 40.0   RPM: 32.5
229.0   HeartRateRaw: 70.0   HeartRateReg: 25.0   Power: 10.0   Resistance: 40.0   RPM: 33.0
